epoch,generator_loss,discriminator_loss
1,4.998224906147795,0.42423128396114135
2,2.889546086179449,0.6867224678714224
3,3.3404626339039902,0.6904561884225683
4,2.654145755428583,0.7717917054257495
5,2.257264702244008,0.8319169162435734
6,2.161097898128185,0.7845490425825119
7,2.0663286238274674,0.7593144894914424
8,2.0265804468951325,0.7777710417483715
9,1.8802871136985562,1.0262238865203046
10,1.838785339701683,0.9169683145715836
11,1.8692267081759713,0.9368072488206498
12,1.844666138291359,0.8832479239778316
13,1.7925616845964116,0.9708985014164702
14,1.8138450160622597,0.9292535325314136
15,1.7975785714831758,0.9368147456899603
16,1.8911028821417626,0.8275280011461136
17,1.837497564944181,0.8608321427030766
18,1.8773025881419791,0.9292096054934441
19,1.8308797594397626,0.8646933449075577
20,1.7673512031423284,0.8824028049377685
21,1.8619949433239216,0.8805577640837812
22,1.8905798339463296,0.7994126110000813
23,1.8499892068670152,0.7747558469467974
24,1.9374281018972397,0.7712444945218715
25,2.0161798272995237,0.7957028318592843
26,2.0018097905719534,0.7681222887749367
27,1.944916918239695,0.7483756130046033
28,2.018646334397032,0.8348913677829377
29,2.041227790903538,0.6150796568774163
30,2.141463373728255,0.6840382497361366
31,2.1577592140182538,0.6598282301045478
32,2.1340392286631653,0.6607118031763016
33,2.115423343758634,0.7560851719785244
34,2.2275502903664366,0.5934220587319516
35,2.271353972798332,0.6334844153929264
36,2.361264539525864,0.5988898204362139
37,2.4583840110200517,0.5737074585037029
38,2.2519126860226724,0.6677868223570763
39,2.310379190489333,0.6572813794333884
40,2.4864288742871996,0.5462739605535852
