feature,real_mean,generated_mean,absolute_mean_difference,real_std,generated_std,absolute_std_difference
Destination Port,5683.203763405868,-101.638504,5784.842267434188,15722.451327439114,562.4539794921875,15159.997347946926
Flow Duration,28052894.194004875,7.156604e+06,20896290.194004875,42788614.079856165,25675302.0,17113312.079856165
Total Fwd Packets,9.529763738528628,3.914505,5.615258733645815,747.8294683106595,6.2367072105407715,741.5927611001188
Total Backward Packets,10.202936092971456,2.648532,7.554404179214131,985.1045031770406,7.8175950050354,977.2869081720052
Total Length of Fwd Packets,555.9393790814223,59.443573,496.49580608337544,6169.244743044382,99.05331420898438,6070.191428835397
Total Length of Bwd Packets,16912.83107630226,6449.9346,10462.89650598976,2243095.8832018115,17309.521484375,2225786.3617174365
