epoch,generator_loss,discriminator_loss
1,1.5309253756490648,0.8507694493219262
2,2.217540347015624,0.6227804070620658
3,2.530309671474712,0.5431427466498618
4,2.746108678922261,0.4977348273504844
5,2.788162356524589,0.4834610291738415
6,2.8583439931036234,0.4759840019783767
7,2.9066440506097964,0.4814029670631122
8,2.789952423077343,0.5025738576018162
9,2.5770939550590444,0.5594999340453531
10,2.506460631127624,0.5752222297788329
11,2.4239447048883536,0.5905015357817954
12,2.359575295792558,0.5887984629583906
13,2.4418634126381447,0.5751858348428917
14,2.426767031778366,0.5652193636838616
15,2.4495890558494193,0.5598215022403988
16,2.4550487390053535,0.5513937225919086
17,2.368414986711747,0.5721948379412796
18,2.3199335388764766,0.5602333055562948
19,2.3226128224751013,0.551150357511387
20,2.334799014652539,0.5469876861007335
21,2.310157631071176,0.548160044827403
22,2.3836473554472093,0.5511582980924781
23,2.2600575802459493,0.5300097820141809
24,2.234779934801909,0.5255653512274853
25,2.220268181587581,0.5259665491094593
26,2.2221899854390985,0.5253258740314948
27,2.2397559602275594,0.5242552536476633
28,2.2604216714560303,0.5462759640847079
29,2.1889149395460024,0.5486372905786459
30,2.261579464074198,0.5484511584363483
