epoch,generator_loss,discriminator_loss
1,1.4275704338270074,0.8011896386450412
2,1.8220382653140261,0.6023033930974848
3,2.1218640183281225,0.441001365757456
4,2.423806609943801,0.3475454000865712
5,2.658745062560546,0.31325571662655066
6,2.9400255666892776,0.24273474082058552
7,2.940892128417602,0.6171402626762204
8,2.6549564306971196,0.2697024878041417
9,2.0691434741152595,0.6937245495179121
10,2.5671177801109994,0.32975170426801137
11,3.0444848076129953,0.27278933197844263
12,3.3225197449618693,0.176800497475208
13,2.7509982239308894,0.48303084298237864
14,3.0101070626876227,0.4278453774604143
15,2.7848402345005203,0.281129193495886
16,3.1652387463725082,0.25994569736660694
17,3.4860721472969196,0.24192740793029469
18,2.8917624458825837,0.3984483057815655
19,3.5275845855620562,0.2123481778464481
20,3.1651226811877944,0.2521387256462784
21,3.16742607596166,0.3391826780549451
22,3.1031401207273386,0.34736129621810774
23,3.099070044592315,0.2777060686519333
24,3.35719574289579,0.2062138266715349
25,3.4847089529845534,0.21134751697673518
26,3.571539781257218,0.2007702983915806
27,3.436975256309205,0.347811159089792
28,3.582463179850111,0.1186913739232456
29,3.4102329276292984,0.32023576195625697
30,3.401487751023166,0.45689274214354214
